fd_code,fd_name,yield,sf_type,unit_nav,f_type
540006,汇丰晋信大盘股票A,21.9032,1,4.3940,fund
519935,长信创新驱动股票,21.6478,1,1.5060,fund
002063,国泰沪深300指数增强C,21.5132,1,1.2008,fund
005515,银华中小市值量化优选股票A,21.4210,1,1.1501,fund
005570,中融智选红利股票C,21.1921,1,1.3033,fund
004805,长信消费精选股票,21.0227,1,1.4484,fund
001878,嘉实沪港深精选,21.0106,1,1.8200,fund
005961,博时量化价值股票C,20.6887,1,1.3528,fund
004403,平安股息精选沪港深A,20.5412,1,1.3186,fund
360001,光大量化股票,20.1072,1,1.2101,fund
001421,南方量化成长,19.9078,1,1.3010,fund
001178,前海开源再融资股票,19.6077,1,1.3920,fund
005035,银华信息科技量化优选A,19.6060,1,1.0078,fund
005036,银华信息科技量化优选C,18.3064,1,1.0017,fund
006195,国金量化多因子,17.9473,1,1.5411,fund
004404,平安股息精选沪港深C,17.7388,1,1.2611,fund
006818,安信盈利驱动股票A,17.6927,1,1.2446,fund
005443,国金量化多策略混合,16.5307,1,1.0285,fund
167702,德邦量化优选A,16.3459,1,1.2551,fund
006819,安信盈利驱动股票C,16.2535,1,1.2288,fund
005777,广发科技动力股票,15.5836,1,1.2646,fund
000172,华泰柏瑞量化增强,15.5255,1,1.4720,fund
167703,德邦量化优选C,15.4157,1,1.2267,fund
001733,泰达宏利量化股票,15.0926,1,1.2430,fund
005867,国泰沪深300指数C类,14.6488,1,1.0104,fund
290010,泰信中证200股票,14.2580,1,1.1780,fund
006207,泰康裕泰债券A,13.3926,1,1.1354,fund
001764,广发沪港深股票,12.9817,1,1.1140,fund
005033,银华智能汽车量化优选A,12.3449,1,1.1230,fund
005034,银华智能汽车量化优选C,12.0660,1,1.1201,fund
005628,汇安趋势动力A,11.4923,1,1.3194,fund
001042,华夏领先股票,11.2795,1,0.6610,fund
001707,诺安高端制造股票,11.1635,1,1.4140,fund
005662,嘉实金融精选股票A,10.7409,1,1.3527,fund
002332,汇丰晋信沪港深股票A,9.8912,1,1.2621,fund
005629,汇安趋势动力C,9.8356,1,1.2898,fund
001563,华富健康文娱混合,9.1924,1,0.9880,fund
162107,金鹰量化精选股票,9.0374,1,0.8156,fund
005663,嘉实金融精选股票C,9.0086,1,1.3250,fund
006382,华夏中证500ETF联接C,8.9280,1,0.6808,fund
001685,汇添富沪港深新价值,8.7657,1,1.2160,fund
002333,汇丰晋信沪港深股票C,8.2102,1,1.2231,fund
003492,前海开源外向企业,8.1761,1,1.3813,fund
162907,泰信基本面400股票,7.6614,1,1.1666,fund
000974,安信消费医药股票,5.8865,1,1.4930,fund
006803,嘉实互通精选股票,5.8321,1,1.0906,fund
004606,上投摩根优选多因子股票,5.6282,1,1.1223,fund
006196,华夏中证央企ETF联接A,5.4107,1,1.2293,fund
200010,长城双动力股票,5.2731,1,1.2817,fund
161211,国投金融地产ETF联接,4.7878,1,1.8297,fund
