found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year
2015-08-07,001583,袁玮,5亿,安信新常态股票A,安信基金管理有限责任公司,1.6419,2016-04-11,12
2016-01-20,001877,陈金伟,21亿,宝盈国家安全,宝盈基金管理有限公司,1.2958,2020-11-21,8
2019-03-05,006868,张帆,6亿,华夏科技成长股票,华夏基金管理有限公司,1.4927,2019-03-05,12
2017-07-12,004716,王颖 提云涛,5亿,信诚阿尔法,中信保诚基金管理有限公司,1.5423,2017-07-12,22
2012-03-13,160127,郑诗韵,9亿,南方新兴消费增长分级股票型基金,南方基金管理股份有限公司,0.7325,2020-11-17,7
2019-01-22,006561,余昊,3537万,华夏中证四川国改ETF联接C,华夏基金管理有限公司,1.5331,2022-01-13,10
2011-01-25,671010,何奇,6亿,西部利得策略优选,西部利得基金管理有限公司,1.3650,2020-10-22,10
2015-07-14,519965,左金保,2亿,长信量化多策略股票型证券投资基金,长信基金管理公司,1.7520,2018-08-30,12
2015-06-09,001416,张楠 张自力,15亿,嘉实事件驱动股票,嘉实基金管理有限公司,1.0800,2015-06-09,26
2014-08-26,000697,张朋,35亿,添富移动互联,汇添富基金管理股份有限公司,1.6060,2020-12-22,10
2015-02-16,001050,许一尊 吴振翔,11亿,添富成长多因子,汇添富基金管理股份有限公司,1.7070,2015-02-16,16
2015-06-24,001193,闫鑫,3亿,中金消费升级,,1.1184,2020-09-07,7
2015-03-31,001040,赵强,8亿,新华策略精选股票,新华基金管理股份有限公司,1.6489,2017-05-17,19
2017-07-20,004858,左金保,2亿,长信量化多策略股票C,长信基金管理有限责任公司,1.6942,2018-08-30,12
2017-11-09,005237,杨腾 马君,5919万,银华医疗健康A,银华基金管理股份有限公司,1.4341,2017-11-09,14
2016-03-15,002229,张帆,14亿,华夏经济转型股票,华夏基金管理有限公司,1.8550,2017-01-06,12
2015-10-08,001888,魏博,7亿,中欧盛世E,中欧基金管理公司,1.8781,2015-10-08,15
2010-08-20,110022,王元春 萧楠,310亿,易基消费行业,易方达基金管理有限公司,3.7590,2012-09-28,16
2007-08-06,200008,杨建华,23亿,长城品牌,长城基金管理公司,1.8481,2013-06-18,22
